ダウンロードした時刻：2023/06/19 00:44:12,,,,,,,,,,,,
,,,,,,,,,,,,
,佐賀,佐賀,佐賀,白石,白石,白石,嬉野,嬉野,嬉野,伊万里,伊万里,伊万里
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jun-01,23.9,8,2,23.7,8,1,22.3,8,1,22.7,8,1
Jul-01,28,8,2,27.8,8,1,26.6,8,1,27.3,8,1
Aug-01,28.1,8,2,27.8,8,1,26.3,8,1,27,8,1
Sep-01,24,8,2,23.5,8,1,22.1,8,1,22.9,8,1
Oct-01,19.2,8,2,18.4,8,1,17.3,8,1,18.3,8,1
Nov-01,11.9,8,2,11.1,8,1,10.2,8,1,11.4,8,1
Dec-01,7.3,8,2,6.7,8,1,5.9,8,1,6.7,8,1
Jan-02,6.8,8,2,6.3,8,1,5.6,8,1,6.8,8,1
Feb-02,7.5,8,2,6.8,8,1,6,8,1,6.9,8,1
Mar-02,11.8,8,2,11.1,8,1,10.4,8,1,11.2,8,1
Apr-02,16.2,8,2,15.8,8,1,14.9,8,1,15.5,8,1
May-02,20.1,8,2,19.5,8,1,18.3,8,1,18.4,8,1
Jun-02,23.9,8,2,23.5,8,1,22,8,1,22.4,8,1
Jul-02,28,8,2,27.8,8,1,26.3,8,1,26.7,8,1
Aug-02,27.5,8,2,27.2,8,1,26,8,1,26.7,8,1
Sep-02,24.4,8,2,23.7,8,1,22.5,8,1,23.1,8,1
Oct-02,17.8,8,2,16.9,8,1,15.9,8,1,16.9,8,1
Nov-02,10.1,8,2,9.4,8,1,8.7,8,1,9.8,8,1
Dec-02,8.1,8,2,7.4,8,1,6.8,8,1,7.8,8,1
Jan-03,4.6,8,2,4,8,1,3.4,8,1,4.5,8,1
Feb-03,7.7,8,2,7.2,8,1,6.2,8,1,7.2,8,1
Mar-03,9.4,8,2,8.9,8,1,7.9,8,1,8.7,8,1
Apr-03,16.1,8,2,15.7,8,1,14.8,8,1,15.2,8,1
May-03,20.6,8,2,20.1,8,1,18.8,8,1,19,8,1
Jun-03,23.2,8,2,22.9,8,1,21.6,8,1,22,8,1
Jul-03,25.6,8,2,25.5,8,1,24.4,8,1,25,8,1
Aug-03,27.5,8,2,27,8,1,25.9,8,1,26.4,8,1
Sep-03,25.3,8,2,24.7,8,1,23.6,8,1,24.3,8,1
Oct-03,17.8,8,2,17,8,1,16,8,1,16.8,8,1
Nov-03,15.5,8,2,14.8,8,1,13.8,8,1,14.7,8,1
Dec-03,7.8,8,2,7.1,8,1,6.5,8,1,7.6,8,1
Jan-04,4.6,8,2,3.9,8,1,3.4,8,1,4.3,8,1
Feb-04,7.9,8,2,7.1,8,1,6.5,8,1,7.5,8,1
Mar-04,10.4,8,2,9.8,8,1,8.8,8,1,9.6,8,1
Apr-04,15.8,8,2,15,8,1,14.1,8,1,14.7,8,1
May-04,20.2,8,2,19.8,8,1,18.8,8,1,19.2,8,1
Jun-04,24.7,8,2,24.3,8,1,22.9,8,1,23,8,1
Jul-04,28.3,8,2,28.1,8,1,26.9,8,1,27.6,8,1
Aug-04,28.3,8,2,28.1,8,1,26.9,8,1,27.4,8,1
Sep-04,24.5,8,2,24.2,8,1,23,8,1,23.4,5,1
Oct-04,18.7,8,2,17.8,8,1,16.7,8,1,17.5,8,1
Nov-04,14.1,8,2,13.2,8,1,12.3,8,1,13.2,8,1
Dec-04,9.7,8,2,8.6,8,1,7.8,8,1,8.7,8,1
Jan-05,5,8,2,4.5,8,1,3.7,8,1,4.9,8,1
Feb-05,5.4,8,2,4.9,8,1,4,8,1,4.7,8,1
Mar-05,8.8,8,2,8.2,8,1,7.6,8,1,8.3,8,1
Apr-05,16,8,2,15.3,8,1,14.8,8,1,15.3,8,1
May-05,19.9,8,2,19.2,8,1,17.9,8,1,18.2,8,1
Jun-05,25.1,8,2,24.6,8,1,23.1,8,1,23.3,8,1
Jul-05,27.4,8,2,27.3,8,1,26,8,1,26.5,8,1
Aug-05,27.9,8,2,27.4,8,1,26.3,8,1,27.1,8,1
Sep-05,25.8,8,2,25.3,8,1,24.2,8,1,24.8,8,1
Oct-05,19.9,8,2,19.1,8,1,18.1,8,1,18.9,8,1
Nov-05,13.2,8,2,12.2,8,1,11.4,8,1,12.4,8,1
Dec-05,4.3,8,2,3.9,8,1,3.2,8,1,4.5,8,1
Jan-06,5.9,8,2,5.2,8,1,4.5,8,1,5.5,8,1
Feb-06,7.1,8,2,6.4,8,1,5.7,8,1,6.5,8,1
Mar-06,9.4,8,2,8.7,8,1,8.1,8,1,8.9,8,1
Apr-06,14.1,8,2,13.6,8,1,12.8,8,1,13.3,5,1
May-06,19.6,8,2,19.2,8,1,18.1,8,1,18.2,8,1
Jun-06,23.9,8,2,23.5,8,1,22.2,8,1,22.4,8,1
Jul-06,27.6,8,2,27.3,8,1,26.3,8,1,26.6,8,1
Aug-06,28.9,8,2,28.6,8,1,27.2,8,1,27.7,8,1
Sep-06,23.7,8,2,23,8,1,21.6,8,1,22.5,8,1
Oct-06,20.4,8,2,19.5,8,1,18.3,8,1,19,8,1
Nov-06,14.2,8,2,13.4,8,1,12.4,8,1,13.2,8,1
Dec-06,8.6,8,2,7.7,8,1,6.8,8,1,7.7,8,1
Jan-07,6.5,8,2,5.6,8,1,5,8,1,5.8,5,1
Feb-07,9.1,8,2,8.1,8,1,7.5,8,1,8.4,8,1
Mar-07,10.7,8,2,10.1,8,1,9.3,8,1,10.1,8,1
Apr-07,14.4,8,2,13.7,8,1,13,8,1,13.6,8,1
May-07,20,8,2,19.4,8,1,18.3,8,1,18.8,8,1
Jun-07,24,8,2,23.8,8,1,22.3,8,1,22.8,8,1
Jul-07,26.4,8,2,26.3,8,1,25.1,8,1,25.4,8,1
Aug-07,28.9,8,2,28.5,8,1,27.4,8,1,28.2,8,1
Sep-07,26.9,8,2,26.1,8,1,24.9,8,1,25.7,8,1
Oct-07,20.5,8,2,19.5,8,1,18.3,8,1,19.2,8,1
